"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"J.T. Realmuto","PHI","139","562","22","75","84","21","7.3%","21.2%",".202",".318",".276",".342",".478",".354",".351","128","6.6","24.9","18.0","6.5","11739"
"Trea Turner","PHI","160","708","21","101","100","27","6.4%","18.5%",".169",".342",".298",".343",".466",".350",".335","128","6.5","29.5","7.1","6.3","16252"
"Kyle Schwarber","PHI","155","669","46","100","94","10","12.9%","29.9%",".286",".240",".218",".323",".504",".355",".375","128","-0.8","21.2","-18.7","2.6","16478"
"Bryce Harper","PHI","99","426","18","63","65","11","10.8%","20.4%",".227",".324",".286",".364",".514",".369",".380","138","-0.9","18.1","-10.0","2.4","11579"
"Rhys Hoskins","PHI","156","672","30","81","79","2","10.7%","25.1%",".216",".292",".246",".332",".462",".345",".338","122","-3.4","13.7","-15.1","2.2","16472"
"Brandon Marsh","PHI","134","461","11","49","52","10","6.1%","34.3%",".139",".360",".245",".295",".384",".296","","89","2.5","-2.9","4.0","1.7","20202"
"Alec Bohm","PHI","152","631","13","79","72","2","4.9%","17.4%",".118",".319",".280",".315",".398",".310",".333","98","-0.5","-2.2","-4.9","1.5","21618"
"Josh Harrison","PHI","119","425","7","50","27","2","4.9%","16.7%",".114",".297",".256",".317",".370",".305",".284","98","-1.6","-2.8","2.6","1.4","8202"
"Bryson Stott","PHI","127","466","10","58","49","12","7.7%","19.1%",".124",".274",".234",".295",".358",".289",".284","83","4.7","-4.3","1.9","1.4","26294"
"Edmundo Sosa","PHI","78","190","2","26","21","6","2.6%","26.3%",".142",".304",".227",".275",".369",".282","","82","2.2","-1.8","7.0","1.2","17022"
"Garrett Stubbs","PHI","50","121","5","19","16","2","11.6%","24.8%",".198",".324",".264",".350",".462",".355",".275","128","1.5","5.5","-4.0","0.6","18067"
"Jake Cave","PHI","54","177","5","17","20","2","6.2%","27.7%",".171",".268",".213",".260",".384",".278",".285","81","0.9","-3.0","1.8","0.5","14477"
"Darick Hall","PHI","42","142","9","19","16","0","3.5%","31.0%",".272",".301",".250",".282",".522",".343",".312","120","-0.5","2.8","-3.8","0.4","19717"
"Dalton Guthrie","PHI","14","28","1","3","5","1","21.4%","25.0%",".143",".462",".333",".500",".476",".437",".363","184","0.2","3.0","-1.0","0.3","21293"
"Craig Kimbrel","PHI","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6655"
"Zack Wheeler","PHI","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10310"
"Andrew Bellatti","PHI","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10657"
"Taijuan Walker","PHI","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11836"
"Matt Strahm","PHI","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13799"
"Yunior Marte","PHI","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14416"
"Aaron Nola","PHI","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16149"
"Luis Ortiz","PHI","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16942"
"Ranger Suarez","PHI","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17277"
"Seranthony Dominguez","PHI","54","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19249"
"Andrew Vasquez","PHI","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19482"
"Gregory Soto","PHI","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19677"
"Bailey Falter","PHI","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20070"
"Nick Nelson","PHI","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20153"
"Erich Uelmen","PHI","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20323"
"Cristopher Sanchez","PHI","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20778"
"Connor Brogdon","PHI","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21205"
"Michael Plassmeyer","PHI","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23191"
"Jose Alvarado","PHI","59","1","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.2","0.1","0.0","17780"
"Simon Muzziotti","PHI","9","9","0","0","0","0","0.0%","22.2%",".000",".200",".143",".250",".143",".201",".235","23","-0.1","-0.9","0.5","0.0","19553"
"Kody Clemens","PHI","57","127","5","13","17","1","6.3%","26.0%",".162",".148",".145",".197",".308",".220",".249","40","1.1","-7.5","1.2","-0.2","20572"
"Nick Castellanos","PHI","136","558","13","56","62","7","5.2%","23.3%",".126",".326",".263",".305",".389",".304",".302","94","-2.8","-6.8","-19.0","-0.7","11737"
